ticker,date,direction,confidence,entry_price,stop_price,tp1,tp2,spread_cost_pct,slippage_pct,outcome,exit_price,r_multiple,hold_bars,set
V,2021-10-14,SELL,26.9,219.568,225.2679,207.5208,197.3797,0.03,0.0,STOP_HIT,225.2679,-1.0,3,train
V,2021-11-10,SELL,27.9,209.4435,217.8626,196.5532,184.3763,0.03,0.05,TP1_HIT,196.5532,1.5311,5,train
V,2021-12-06,SELL,35.6,199.4131,206.4171,182.7128,169.1674,0.03,0.0,STOP_HIT,206.4171,-1.0,4,train
V,2021-12-13,SELL,27.8,203.9918,212.8132,193.0281,181.7223,0.03,0.0,STOP_HIT,212.8132,-1.0,14,train
V,2021-12-20,SELL,32.1,203.7737,209.9072,191.7513,181.3765,0.03,0.05,STOP_HIT,209.9072,-1.0,2,train
V,2021-12-28,SELL,25.4,210.797,217.7001,202.3959,193.6506,0.03,0.0,STOP_HIT,217.7001,-1.0,5,train
V,2022-01-04,SELL,23.3,215.521,221.5844,207.1807,198.95,0.03,0.0,TP1_HIT,207.1807,1.3755,4,train
V,2022-05-25,SELL,20.1,199.2544,208.1707,184.6259,171.1717,0.03,0.0,STOP_HIT,208.1707,-1.0,3,train
V,2022-06-08,SELL,29.7,206.5208,215.7318,196.4476,185.428,0.03,0.0,TP1_HIT,196.4476,1.0936,2,train
V,2022-06-24,SELL,19.7,199.8761,208.4319,188.0642,176.4255,0.03,0.0,TP1_HIT,188.0642,1.3806,4,train
V,2022-07-01,SELL,35.9,190.6279,202.4609,181.6729,169.7941,0.03,0.0,STOP_HIT,203.4538,-1.0839,9,train
V,2022-07-11,SELL,32.2,197.4475,207.1742,188.7208,178.176,0.03,0.0,STOP_HIT,207.1742,-1.0,6,train
V,2022-10-21,SELL,35.1,186.2748,192.3888,175.891,166.4637,0.03,0.0,STOP_HIT,192.3888,-1.0,3,train
V,2022-11-03,SELL,32.5,191.619,197.8187,178.6,167.618,0.03,0.05,STOP_HIT,197.8187,-1.0,3,train
V,2024-05-23,SELL,18.4,271.23,276.0107,263.566,256.4548,0.03,0.05,STOP_HIT,276.0107,-1.0,10,train
V,2024-05-31,SELL,25.5,269.4711,274.0662,262.0822,255.2342,0.03,0.0,STOP_HIT,274.1121,-1.01,5,train
V,2024-08-12,SELL,20.1,257.1976,264.9204,246.5268,236.0162,0.03,0.0,STOP_HIT,264.9204,-1.0,4,train
V,2024-08-19,SELL,19.2,263.9901,269.8973,255.0756,246.6061,0.03,0.0,STOP_HIT,269.8973,-1.0,8,train
V,2025-04-24,SELL,23.9,332.1735,354.5579,304.7606,276.305,0.03,0.0,STOP_HIT,356.4722,-1.0855,12,train
V,2025-08-13,SELL,27.6,341.4553,350.9224,328.1651,315.1609,0.03,0.0,STOP_HIT,350.9224,-1.0,9,val
V,2025-08-22,SELL,25.3,348.0964,357.375,336.968,325.3068,0.03,0.0,TP1_HIT,336.968,1.1994,12,val
V,2026-03-02,SELL,30.0,315.7153,331.8318,305.4143,290.3186,0.03,0.0,TP1_HIT,305.4143,0.6392,12,val
V,2026-04-14,SELL,29.4,312.9061,321.33,298.09,284.81,0.03,0.0,STOP_HIT,336.4,-2.789,11,val
V,2026-04-23,SELL,27.8,306.8543,317.2114,297.7714,286.6629,0.03,0.05,STOP_HIT,336.4,-2.8527,4,val
SPY,2022-03-15,SELL,34.5,405.4932,416.5426,382.6671,363.3098,0.01,0.0,STOP_HIT,416.5426,-1.0,3,train
SPY,2022-03-23,SELL,24.4,421.7281,432.6165,403.076,386.1957,0.01,0.05,STOP_HIT,435.3048,-1.2469,4,train
SPY,2022-04-21,SELL,19.0,413.3951,424.2831,401.5134,388.5021,0.01,0.0,TP1_HIT,401.5134,1.0913,2,train
SPY,2022-05-27,SELL,29.2,391.2924,407.7855,373.1684,353.3872,0.01,0.0,TP1_HIT,373.1684,1.0989,9,train
SPY,2022-06-06,SELL,34.5,386.1357,403.3755,371.3867,353.1074,0.01,0.0,TP1_HIT,371.3867,0.8555,4,train
SPY,2022-07-11,SELL,34.8,364.5696,375.9162,350.8124,336.4674,0.01,0.0,STOP_HIT,375.9162,-1.0,7,train
SPY,2022-07-18,SELL,32.0,366.8788,373.455,349.0379,335.0852,0.01,0.0,STOP_HIT,373.455,-1.0,2,train
SPY,2022-10-21,SELL,34.5,358.6629,370.8071,338.9918,320.8117,0.01,0.0,STOP_HIT,370.8071,-1.0,5,train
SPY,2022-10-28,SELL,32.7,368.7294,383.8817,354.3568,337.4853,0.01,0.0,TP1_HIT,354.3568,0.9485,4,train
SPY,2022-11-04,SELL,30.3,360.2193,370.3026,344.2512,329.3647,0.01,0.05,STOP_HIT,370.3027,-1.0,4,train
SPY,2023-10-10,SELL,19.0,422.2183,429.5761,410.0183,398.8424,0.01,0.0,TP1_HIT,410.0183,1.6581,8,train
SPY,2025-04-28,SELL,36.2,542.6345,573.0169,506.7268,468.8468,0.01,0.0,STOP_HIT,574.8798,-1.0613,10,train
SPY,2025-05-05,SELL,26.5,551.5514,573.768,534.9307,512.738,0.01,0.0,STOP_HIT,574.8798,-1.05,5,val
SPY,2026-04-02,SELL,19.9,655.7944,671.9673,634.3137,612.7974,0.01,0.0,STOP_HIT,676.39,-1.2735,3,val
QQQ,2022-03-22,SELL,29.0,345.1533,362.7535,328.4785,308.8928,0.01,0.0,TP1_HIT,328.4785,0.9474,18,train
QQQ,2022-06-01,SELL,36.2,297.2232,312.4719,279.5775,260.7808,0.01,0.0,TP1_HIT,279.5775,1.1572,8,train
QQQ,2022-06-24,SELL,36.6,289.1494,300.7194,270.6214,253.4226,0.01,0.0,TP1_HIT,270.6214,1.6014,4,train
QQQ,2022-07-11,SELL,36.5,283.6008,293.1953,267.9565,253.5343,0.01,0.0,STOP_HIT,293.1953,-1.0,7,train
QQQ,2022-07-19,SELL,18.9,291.8162,301.8424,277.5358,263.6463,0.01,0.0,STOP_HIT,301.8424,-1.0,7,train
QQQ,2022-10-25,SELL,35.3,272.5041,290.1342,262.192,246.2251,0.01,0.0,TP1_HIT,262.192,0.5849,6,train
QQQ,2022-11-01,SELL,35.5,269.1964,281.446,252.9949,236.7372,0.01,0.0,STOP_HIT,281.446,-1.0,8,train
