ticker,date,direction,confidence,entry_price,stop_price,tp1,tp2,spread_cost_pct,slippage_pct,outcome,exit_price,r_multiple,hold_bars,set
QQQ,2022-08-22,BUY,24.1,306.9114,297.6787,319.6968,332.2786,0.01,0.0,STOP_HIT,297.5996,-1.0086,5,train
QQQ,2022-08-29,BUY,24.2,299.0754,288.0052,309.9135,322.4325,0.01,0.0,STOP_HIT,288.0052,-1.0,3,train
QQQ,2022-09-09,BUY,24.2,301.571,289.7483,313.6984,327.3841,0.01,0.05,STOP_HIT,289.7483,-1.0,2,train
QQQ,2023-02-02,BUY,24.3,299.3416,296.18,318.6584,331.5032,0.01,0.05,STOP_HIT,296.18,-1.0,5,train
QQQ,2023-02-09,BUY,23.3,293.8349,285.4568,309.9733,323.9827,0.01,0.0,STOP_HIT,285.4568,-1.0,10,train
QQQ,2023-02-28,BUY,18.3,287.7322,279.6855,299.0808,310.1639,0.01,0.0,TP1_HIT,299.0808,1.4103,12,train
QQQ,2023-03-07,BUY,24.7,291.3216,283.0361,300.9771,311.2291,0.01,0.05,STOP_HIT,283.0361,-1.0,3,train
QQQ,2023-03-15,BUY,24.6,292.529,284.5942,304.8284,316.3908,0.01,0.05,TP1_HIT,304.8284,1.55,4,train
QQQ,2023-03-22,BUY,24.6,304.7012,291.0766,313.7287,326.6728,0.01,0.05,TP1_HIT,313.7287,0.6626,7,train
QQQ,2023-03-29,BUY,24.7,309.9316,297.717,320.0066,332.7435,0.01,0.05,EXPIRED,314.7667,0.3958,20,train
QQQ,2023-04-05,BUY,24.8,308.794,302.7529,320.6286,330.8433,0.01,0.0,EXPIRED,310.6595,0.3088,20,train
QQQ,2023-04-13,BUY,18.4,312.242,306.6464,322.8883,332.1694,0.01,0.05,STOP_HIT,306.6464,-1.0,8,train
QQQ,2023-04-28,BUY,20.0,316.6663,310.0395,326.1364,335.3347,0.01,0.05,STOP_HIT,310.0395,-1.0,4,train
QQQ,2023-05-10,BUY,25.4,320.2154,312.7503,328.4371,337.4009,0.01,0.05,TP1_HIT,328.4371,1.1013,6,train
QQQ,2023-05-17,BUY,25.5,325.9374,319.6599,332.9345,340.5199,0.01,0.05,TP1_HIT,332.9345,1.1146,6,train
QQQ,2023-05-25,BUY,25.9,335.0218,327.8657,341.7102,349.6213,0.01,0.05,TP1_HIT,341.7102,0.9346,1,train
QQQ,2023-06-02,BUY,26.1,348.4617,341.1343,358.2482,368.0276,0.01,0.05,TP1_HIT,358.2482,1.3356,8,train
QQQ,2023-06-12,BUY,26.1,357.1725,345.9461,365.2217,376.2364,0.01,0.05,TP1_HIT,365.2217,0.717,3,train
QQQ,2023-06-20,BUY,26.1,360.0745,353.3089,371.2546,381.5092,0.01,0.05,STOP_HIT,353.3089,-1.0,4,train
QQQ,2023-06-27,BUY,26.1,356.1946,349.1898,369.6984,381.4175,0.01,0.0,TP1_HIT,369.6984,1.9278,11,train
QQQ,2023-07-05,BUY,26.1,360.8325,356.4998,374.7598,385.1942,0.01,0.05,TP1_HIT,374.7598,3.2144,7,train
QQQ,2023-07-12,BUY,26.2,370.2247,359.5654,376.5036,386.1825,0.01,0.05,TP1_HIT,376.5036,0.589,2,train
QQQ,2023-07-19,BUY,26.3,376.6831,372.5191,388.6874,397.9264,0.01,0.05,STOP_HIT,372.5191,-1.0,1,train
QQQ,2023-07-26,BUY,26.2,377.136,363.9189,381.4892,391.5294,0.01,0.05,STOP_HIT,363.9189,-1.0,9,train
QQQ,2023-08-02,BUY,26.1,365.9954,360.0824,379.4188,390.4682,0.01,0.0,STOP_HIT,360.0824,-1.0,7,train
QQQ,2023-08-10,BUY,19.0,360.1405,354.4864,373.5645,384.4663,0.01,0.0,STOP_HIT,354.4864,-1.0,5,train
QQQ,2023-11-29,BUY,22.1,384.5933,377.6715,392.6635,401.2303,0.01,0.05,STOP_HIT,377.6715,-1.0,3,train
QQQ,2023-12-06,BUY,26.0,382.4204,373.2948,387.5552,395.7039,0.01,0.0,TP1_HIT,387.5552,0.5627,3,train
