ticker,date,direction,confidence,entry_price,stop_price,tp1,tp2,spread_cost_pct,slippage_pct,outcome,exit_price,r_multiple,hold_bars,set
MSFT,2021-08-16,BUY,26.1,281.4385,278.3041,290.0522,290.0522,0.03,0.05,STOP_HIT,278.1865,-1.0375,3,train
MSFT,2021-08-23,BUY,25.9,294.1575,287.3253,301.8865,301.8865,0.03,0.05,STOP_HIT,287.3253,-1.0,4,train
MSFT,2021-08-31,BUY,26.1,292.084,284.2516,299.7563,299.7563,0.03,0.05,STOP_HIT,284.2516,-1.0,8,train
MSFT,2021-09-08,BUY,26.1,289.9621,283.135,297.4905,297.4905,0.03,0.0,STOP_HIT,283.135,-1.0,8,train
MSFT,2021-09-15,BUY,26.1,292.9424,288.1142,301.217,301.217,0.03,0.05,STOP_HIT,285.5485,-1.5314,3,train
MSFT,2021-09-22,BUY,18.2,288.0632,280.9602,296.725,296.725,0.03,0.0,STOP_HIT,279.256,-1.2399,4,train
MSFT,2021-10-18,BUY,21.0,297.3689,288.0101,306.9091,306.9091,0.03,0.05,TP2_HIT,306.9091,1.0194,7,train
MSFT,2021-10-26,BUY,18.3,304.5942,293.0083,306.5857,306.5857,0.03,0.0,TP2_HIT,306.5857,0.1719,1,train
MSFT,2021-11-02,BUY,25.6,322.009,313.352,331.2198,331.2198,0.03,0.05,TP2_HIT,331.2198,1.064,13,train
MSFT,2021-11-09,BUY,25.5,322.4939,315.9692,334.0707,334.0707,0.03,0.0,TP2_HIT,334.0707,1.7743,9,train
MSFT,2021-11-16,BUY,25.5,327.4675,320.2308,336.393,336.393,0.03,0.05,TP2_HIT,336.393,1.2334,4,train
MSFT,2021-11-26,BUY,25.3,323.4412,310.587,328.5055,328.5055,0.03,0.0,STOP_HIT,310.587,-1.0,5,train
MSFT,2021-12-03,BUY,25.0,312.8285,301.3615,325.7816,325.7816,0.03,0.0,TP2_HIT,325.7816,1.1296,5,train
MSFT,2021-12-10,BUY,25.0,329.1486,318.72,346.6291,346.6291,0.03,0.05,STOP_HIT,318.72,-1.0,2,train
MSFT,2021-12-17,BUY,24.8,309.0624,299.3566,330.2342,330.2342,0.03,0.0,TP2_HIT,330.2342,2.1814,5,train
MSFT,2021-12-27,BUY,24.7,331.5349,318.7873,346.3368,346.3368,0.03,0.05,STOP_HIT,318.7873,-1.0,5,train
MSFT,2022-01-03,BUY,24.6,323.335,312.2992,337.6428,337.6428,0.03,0.0,STOP_HIT,312.2992,-1.0,2,train
MSFT,2022-04-05,BUY,22.3,295.4696,291.8666,312.566,312.566,0.03,0.05,STOP_HIT,291.8666,-1.0,1,train
MSFT,2022-07-29,BUY,22.7,269.5978,260.0254,288.4646,288.4646,0.03,0.05,EXPIRED,260.4995,-0.9505,20,train
MSFT,2022-08-15,BUY,23.4,283.3484,274.648,297.7689,297.7689,0.03,0.05,STOP_HIT,274.0934,-1.0637,5,train
MSFT,2022-08-22,BUY,23.5,268.6937,262.145,280.2075,280.2075,0.03,0.0,STOP_HIT,262.145,-1.0,4,train
MSFT,2022-08-29,BUY,21.1,259.1975,250.2509,267.6799,267.6799,0.03,0.0,STOP_HIT,250.2509,-1.0,3,train
MSFT,2022-11-30,BUY,18.8,247.5752,238.7855,261.7206,261.7206,0.03,0.05,STOP_HIT,238.7855,-1.0,4,train
MSFT,2022-12-20,BUY,20.8,235.5795,225.7604,248.7569,248.7569,0.03,0.0,STOP_HIT,225.7604,-1.0,9,train
MSFT,2023-01-13,BUY,23.1,232.0695,223.775,245.5607,245.5607,0.03,0.05,TP2_HIT,245.5607,1.6265,12,train
MSFT,2023-01-23,BUY,23.5,236.4871,226.5361,249.496,249.496,0.03,0.05,STOP_HIT,226.5361,-1.0,2,train
MSFT,2023-02-02,BUY,23.3,253.1047,248.0139,270.9251,270.9251,0.03,0.05,STOP_HIT,248.0139,-1.0,12,train
MSFT,2023-02-14,BUY,18.5,262.3224,253.8325,280.3784,280.3784,0.03,0.05,STOP_HIT,253.3892,-1.0522,3,train
MSFT,2023-03-07,BUY,19.9,248.3615,240.5975,258.501,258.501,0.03,0.05,STOP_HIT,240.5975,-1.0,4,train
MSFT,2023-03-14,BUY,23.6,254.1688,246.3638,265.9476,265.9476,0.03,0.05,TP2_HIT,265.9476,1.5091,2,train
MSFT,2023-03-21,BUY,23.5,267.1552,257.1474,281.1783,281.1783,0.03,0.0,TP2_HIT,281.1783,1.4012,8,train
MSFT,2023-03-29,BUY,23.5,277.7379,262.8823,288.8718,288.8718,0.03,0.0,TP2_HIT,288.8718,0.7495,19,train
MSFT,2023-04-05,BUY,23.6,276.7412,268.8698,289.6184,289.6184,0.03,0.0,TP2_HIT,289.6184,1.636,14,train
MSFT,2023-04-13,BUY,23.7,280.5848,274.5931,294.5236,294.5236,0.03,0.05,STOP_HIT,274.5931,-1.0,7,train
MSFT,2023-04-20,BUY,22.3,278.5001,271.0186,290.7879,290.7879,0.03,0.0,STOP_HIT,271.0186,-1.0,3,train
MSFT,2023-04-27,BUY,24.3,297.2146,287.1033,312.0109,312.0109,0.03,0.05,TP2_HIT,312.0109,1.4634,15,train
MSFT,2023-05-05,BUY,24.3,303.1977,293.5328,316.7041,316.7041,0.03,0.05,TP2_HIT,316.7041,1.3975,14,train
MSFT,2023-05-17,BUY,24.4,308.1716,300.5438,316.5566,316.5566,0.03,0.05,TP2_HIT,316.5566,1.0993,6,train
MSFT,2023-05-25,BUY,24.8,317.4698,311.6012,329.0428,329.0428,0.03,0.05,TP2_HIT,329.0428,1.972,5,train
